training on cuda
loss 0.4164, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.8 sec
loss 0.4165, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.8 sec
loss 0.4166, contact ratio 0.059, train acc 0.914, train prec 0.394, train recall 0.874, time 3.6 sec
loss 0.4166, contact ratio 0.059, train acc 0.914, train prec 0.394, train recall 0.874, time 3.7 sec
loss 0.4167, contact ratio 0.059, train acc 0.914, train prec 0.394, train recall 0.874, time 3.8 sec
loss 0.4167, contact ratio 0.059, train acc 0.914, train prec 0.394, train recall 0.874, time 3.6 sec
loss 0.4168, contact ratio 0.059, train acc 0.914, train prec 0.394, train recall 0.874, time 4.0 sec
loss 0.4168, contact ratio 0.059, train acc 0.914, train prec 0.394, train recall 0.874, time 3.9 sec
loss 0.4168, contact ratio 0.059, train acc 0.914, train prec 0.394, train recall 0.874, time 3.6 sec
loss 0.4168, contact ratio 0.059, train acc 0.914, train prec 0.394, train recall 0.874, time 3.8 sec
loss 0.4168, contact ratio 0.059, train acc 0.914, train prec 0.394, train recall 0.874, time 3.8 sec
loss 0.4167, contact ratio 0.059, train acc 0.914, train prec 0.394, train recall 0.874, time 3.7 sec
loss 0.4167, contact ratio 0.059, train acc 0.914, train prec 0.394, train recall 0.874, time 3.9 sec
loss 0.4168, contact ratio 0.059, train acc 0.914, train prec 0.394, train recall 0.873, time 3.8 sec
loss 0.4168, contact ratio 0.059, train acc 0.914, train prec 0.394, train recall 0.873, time 3.6 sec
loss 0.4168, contact ratio 0.059, train acc 0.914, train prec 0.394, train recall 0.873, time 3.8 sec
loss 0.4166, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.6 sec
loss 0.4166, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.873, time 3.9 sec
loss 0.4165, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.7 sec
loss 0.4166, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.873, time 3.8 sec
loss 0.4167, contact ratio 0.059, train acc 0.914, train prec 0.394, train recall 0.873, time 3.8 sec
loss 0.4166, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.873, time 3.6 sec
loss 0.4164, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.7 sec
loss 0.4164, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.7 sec
loss 0.4165, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.873, time 3.7 sec
loss 0.4165, contact ratio 0.059, train acc 0.914, train prec 0.394, train recall 0.873, time 3.8 sec
loss 0.4165, contact ratio 0.059, train acc 0.914, train prec 0.394, train recall 0.873, time 3.7 sec
loss 0.4164, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.8 sec
loss 0.4164, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.7 sec
loss 0.4164, contact ratio 0.059, train acc 0.914, train prec 0.394, train recall 0.874, time 3.6 sec
loss 0.4164, contact ratio 0.059, train acc 0.914, train prec 0.394, train recall 0.874, time 3.6 sec
loss 0.4164, contact ratio 0.059, train acc 0.914, train prec 0.394, train recall 0.874, time 3.7 sec
loss 0.4163, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.8 sec
loss 0.4164, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.8 sec
loss 0.4163, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.8 sec
loss 0.4163, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.8 sec
loss 0.4163, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.8 sec
loss 0.4163, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.6 sec
loss 0.4163, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.8 sec
loss 0.4163, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.8 sec
loss 0.4163, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.8 sec
loss 0.4161, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.7 sec
loss 0.4162, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.8 sec
loss 0.4162, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.6 sec
loss 0.4161, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.8 sec
loss 0.4161, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.7 sec
loss 0.4161, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.6 sec
loss 0.4162, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.7 sec
loss 0.4162, contact ratio 0.059, train acc 0.914, train prec 0.396, train recall 0.874, time 3.8 sec
loss 0.4161, contact ratio 0.059, train acc 0.914, train prec 0.396, train recall 0.874, time 3.8 sec
loss 0.4162, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.8 sec
loss 0.4162, contact ratio 0.059, train acc 0.914, train prec 0.396, train recall 0.874, time 3.8 sec
loss 0.4162, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.8 sec
loss 0.4162, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.6 sec
loss 0.4162, contact ratio 0.059, train acc 0.914, train prec 0.396, train recall 0.874, time 3.8 sec
loss 0.4161, contact ratio 0.059, train acc 0.914, train prec 0.396, train recall 0.874, time 3.6 sec
loss 0.4161, contact ratio 0.059, train acc 0.914, train prec 0.396, train recall 0.874, time 3.6 sec
loss 0.4161, contact ratio 0.059, train acc 0.914, train prec 0.396, train recall 0.874, time 3.7 sec
loss 0.4161, contact ratio 0.059, train acc 0.914, train prec 0.396, train recall 0.874, time 3.8 sec
loss 0.4162, contact ratio 0.059, train acc 0.914, train prec 0.396, train recall 0.874, time 3.6 sec
loss 0.4162, contact ratio 0.059, train acc 0.914, train prec 0.396, train recall 0.874, time 3.6 sec
loss 0.4162, contact ratio 0.059, train acc 0.914, train prec 0.396, train recall 0.874, time 3.7 sec
loss 0.4163, contact ratio 0.059, train acc 0.914, train prec 0.396, train recall 0.874, time 3.8 sec
loss 0.4162, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.8 sec
loss 0.4163, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.8 sec
loss 0.4163, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.8 sec
loss 0.4164, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.7 sec
loss 0.4164, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.8 sec
loss 0.4164, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.7 sec
loss 0.4164, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.6 sec
loss 0.4164, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.7 sec
loss 0.4164, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.8 sec
loss 0.4164, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.8 sec
loss 0.4163, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.8 sec
loss 0.4163, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.8 sec
loss 0.4163, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.8 sec
loss 0.4164, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.8 sec
loss 0.4164, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.7 sec
loss 0.4164, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.6 sec
loss 0.4164, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.7 sec
loss 0.4163, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.8 sec
loss 0.4163, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.7 sec
loss 0.4163, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.7 sec
loss 0.4163, contact ratio 0.059, train acc 0.914, train prec 0.396, train recall 0.874, time 3.8 sec
loss 0.4164, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.7 sec
loss 0.4164, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.7 sec
loss 0.4164, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.8 sec
loss 0.4164, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.8 sec
loss 0.4164, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.7 sec
loss 0.4163, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.6 sec
loss 0.4163, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.8 sec
loss 0.4162, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.8 sec
loss 0.4162, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.8 sec
loss 0.4162, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.6 sec
loss 0.4162, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.7 sec
loss 0.4161, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.875, time 3.8 sec
loss 0.4162, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.6 sec
loss 0.4162, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.8 sec
loss 0.4162, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.8 sec
loss 0.4162, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.8 sec
loss 0.4162, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.8 sec
loss 0.4162, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.8 sec
loss 0.4163, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.8 sec
loss 0.4163, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.8 sec
loss 0.4163, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.8 sec
loss 0.4163, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.8 sec
loss 0.4163, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.8 sec
loss 0.4163, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.8 sec
loss 0.4163, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.8 sec
loss 0.4163, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.8 sec
loss 0.4163, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.7 sec
loss 0.4163, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.8 sec
loss 0.4163, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.8 sec
loss 0.4163, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.8 sec
loss 0.4162, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.8 sec
loss 0.4163, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.8 sec
loss 0.4162, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.7 sec
loss 0.4162, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.6 sec
loss 0.4162, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.7 sec
loss 0.4162, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.8 sec
loss 0.4162, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.6 sec
loss 0.4162, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.8 sec
loss 0.4162, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.8 sec
loss 0.4162, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.8 sec
loss 0.4162, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.7 sec
loss 0.4162, contact ratio 0.059, train acc 0.914, train prec 0.395, train recall 0.874, time 3.8 sec
